S.No,State/UT,District,Designation,Official Email,Phone
68,Assam,West Karbi Anglong,Deputy Commissioner,dc.westkarbianglong@gov.in,03677-230030
69,Bihar,Araria,District Magistrate,dm-araria.bih@nic.in,06453-222001
70,Bihar,Arwal,District Magistrate,dm-arwal.bih@nic.in,06337-228995
71,Bihar,Aurangabad,District Magistrate,dm-aurangabad.bih@nic.in,06186-223167
72,Bihar,Banka,District Magistrate,dm-banka.bih@nic.in,06424-232304
73,Bihar,Begusarai,District Magistrate,dm-begusarai.bih@nic.in,06243-222285
74,Bihar,Bhagalpur,District Magistrate,dm-bhagalpur.bih@nic.in,0641-2402200
75,Bihar,Bhojpur,District Magistrate,dm-bhojpur.bih@nic.in,06182-221312
76,Bihar,Buxar,District Magistrate,dm-buxar.bih@nic.in,06183-222336
77,Bihar,Darbhanga,District Magistrate,dm-darbhanga.bih@nic.in,06272-245378
78,Bihar,East Champaran,District Magistrate,dm-motihari.bih@nic.in,06252-242700
79,Bihar,Gaya,District Magistrate,dm-gaya.bih@nic.in,0631-2222900
80,Bihar,Gopalganj,District Magistrate,dm-gopalganj.bih@nic.in,06156-226001
81,Bihar,Jamui,District Magistrate,dm-jamui.bih@nic.in,06345-222002
82,Bihar,Jehanabad,District Magistrate,dm-jehanabad.bih@nic.in,06114-223072
83,Bihar,Khagaria,District Magistrate,dm-khagaria.bih@nic.in,06244-222135
84,Bihar,Kishanganj,District Magistrate,dm-kishanganj.bih@nic.in,06456-222530
85,Bihar,Kaimur,District Magistrate,dm-bhabhua.bih@nic.in,06189-223241
86,Bihar,Katihar,District Magistrate,dm-katihar.bih@nic.in,06452-230581
87,Bihar,Lakhisarai,District Magistrate,dm-lakhisarai.bih@nic.in,06346-232124
88,Bihar,Madhubani,District Magistrate,dm-madhubani.bih@nic.in,06276-222217
89,Bihar,Munger,District Magistrate,dm-munger.bih@nic.in,06344-222402
90,Bihar,Madhepura,District Magistrate,dm-madhepura.bih@nic.in,06476-222741
91,Bihar,Muzaffarpur,District Magistrate,dm-muzaffarpur.bih@nic.in,0621-2214280
92,Bihar,Nalanda,District Magistrate,dm-nalanda.bih@nic.in,06112-232777
93,Bihar,Nawada,District Magistrate,dm-nawada.bih@nic.in,06324-212400
94,Bihar,Patna,District Magistrate,dm-patna.bih@nic.in,0612-2219133
95,Bihar,Purnia,District Magistrate,dm-purnia.bih@nic.in,06454-244200
96,Bihar,Rohtas,District Magistrate,dm-rohtas.bih@nic.in,06184-222281
97,Bihar,Saharsa,District Magistrate,dm-saharsa.bih@nic.in,06478-222201
98,Bihar,Samastipur,District Magistrate,dm-samastipur.bih@nic.in,06274-240555
99,Bihar,Saran,District Magistrate,dm-saran.bih@nic.in,06162-246300
100,Bihar,Sheikhpura,District Magistrate,dm-sheikhpura.bih@nic.in,06341-222201
101,Bihar,Sheohar,District Magistrate,dm-sheohar.bih@nic.in,06228-242202
102,Bihar,Sitamarhi,District Magistrate,dm-sitamarhi.bih@nic.in,06226-244222
103,Bihar,Siwan,District Magistrate,dm-siwan.bih@nic.in,06154-243063
104,Bihar,Supaul,District Magistrate,dm-supaul.bih@nic.in,06473-222206
105,Bihar,Vaishali,District Magistrate,dm-vaishali.bih@nic.in,06224-233253
106,Bihar,West Champaran,District Magistrate,dm-westchamparan.bih@nic.in,06254-242200
107,Chhattisgarh,Balod,Collector & DM,collector.balod@cgstate.gov.in,07727-222240
108,Chhattisgarh,Baloda Bazar,Collector & DM,collector.balodabazar@cgstate.gov.in,07727-222093
109,Chhattisgarh,Bastar,Collector & DM,collector.bastar@cgstate.gov.in,07782-222126
110,Chhattisgarh,Bemetara,Collector & DM,collector.bemetara@cgstate.gov.in,
111,Chhattisgarh,Bijapur,Collector & DM,collector.bijapur@cgstate.gov.in,07853-222201
112,Chhattisgarh,Bilaspur,Collector & DM,collector.bilaspur@cgstate.gov.in,07752-222267
113,Chhattisgarh,Dantewada,Collector & DM,collector.dantewada@cgstate.gov.in,07856-222245
114,Chhattisgarh,Dhamtari,Collector & DM,collector.dhamtari@cgstate.gov.in,07722-232124
115,Chhattisgarh,Durg,Collector & DM,collector.durg@cgstate.gov.in,0788-2322035
116,Chhattisgarh,Gariaband,Collector & DM,collector.gariaband@cgstate.gov.in,
117,Chhattisgarh,Janjgir-Champa,Collector & DM,collector.janjgir@cgstate.gov.in,07817-222269
118,Chhattisgarh,Jashpur,Collector & DM,collector.jashpur@cgstate.gov.in,07763-222235
119,Chhattisgarh,Kanker,Collector & DM,collector.kanker@cgstate.gov.in,07868-222210
120,Chhattisgarh,Kabirdham,Collector & DM,collector.kabirdham@cgstate.gov.in,07741-232001
121,Chhattisgarh,Kondagaon,Collector & DM,collector.kondagaon@cgstate.gov.in,
122,Chhattisgarh,Korba,Collector & DM,collector.korba@cgstate.gov.in,07759-224100
123,Chhattisgarh,Koriya,Collector & DM,collector.koriya@cgstate.gov.in,07771-222245
124,Chhattisgarh,Mahasamund,Collector & DM,collector.mahasamund@cgstate.gov.in,07723-222217
125,Chhattisgarh,Mungeli,Collector & DM,collector.mungeli@cgstate.gov.in,
126,Chhattisgarh,Narayanpur,Collector & DM,collector.narayanpur@cgstate.gov.in,07781-252030
127,Chhattisgarh,Raigarh,Collector & DM,collector.raigarh@cgstate.gov.in,07762-222340
128,Chhattisgarh,Raipur,Collector & DM,collector.raipur@cgstate.gov.in,0771-2235091
129,Chhattisgarh,Rajnandgaon,Collector & DM,collector.rajnandgaon@cgstate.gov.in,07744-222291
130,Chhattisgarh,Sukma,Collector & DM,collector.sukma@cgstate.gov.in,
131,Chhattisgarh,Surajpur,Collector & DM,collector.surajpur@cgstate.gov.in,
132,Chhattisgarh,Surguja,Collector & DM,collector.surguja@cgstate.gov.in,07774-222208
133,Goa,North Goa,Collector,collectornorthgoa@gmail.com,0832-2224468
134,Goa,South Goa,Collector,collectorsouthgoa@gmail.com,0832-2705190
135,Gujarat,Ahmedabad,Collector,collector-ahd@gujarat.gov.in,079-23251507
136,Gujarat,Amreli,Collector,collector-amreli@gujarat.gov.in,02792-223001
137,Gujarat,Anand,Collector,collector-anand@gujarat.gov.in,02692-261604
138,Gujarat,Aravalli,Collector,collector-aravalli@gujarat.gov.in,
139,Gujarat,Banaskantha,Collector,collector-banas@gujarat.gov.in,02742-252028
140,Gujarat,Bharuch,Collector,collector-bharuch@gujarat.gov.in,02642-247851
141,Gujarat,Bhavnagar,Collector,collector-bhavnagar@gujarat.gov.in,0278-2429740
142,Gujarat,Botad,Collector,collector-botad@gujarat.gov.in,
143,Gujarat,Chhota Udaipur,Collector,collector-chhota-udaipur@gujarat.gov.in,
144,Gujarat,Dahod,Collector,collector-dahod@gujarat.gov.in,02673-230011
145,Gujarat,Dang,Collector,collector-dang@gujarat.gov.in,02631-220225
146,Gujarat,Devbhoomi Dwarka,Collector,collector-devbhoomi-dwarka@gujarat.gov.in,
147,Gujarat,Gandhinagar,Collector,collector-gandhinagar@gujarat.gov.in,079-23222001
148,Gujarat,Gir Somnath,Collector,collector-gir-somnath@gujarat.gov.in,
149,Gujarat,Jamnagar,Collector,collector-jamnagar@gujarat.gov.in,0288-2551444
150,Gujarat,Junagadh,Collector,collector-junagadh@gujarat.gov.in,0285-2624701
151,Gujarat,Kutch,Collector,collector-kutch@gujarat.gov.in,02832-250355
152,Gujarat,Kheda,Collector,collector-kheda@gujarat.gov.in,02694-243051
153,Gujarat,Mahesana,Collector,collector-mahesana@gujarat.gov.in,02762-220101
154,Gujarat,Mahisagar,Collector,collector-mahisagar@gujarat.gov.in,
155,Gujarat,Morbi,Collector,collector-morbi@gujarat.gov.in,
156,Gujarat,Narmada,Collector,collector-narmada@gujarat.gov.in,02640-221201
157,Gujarat,Navsari,Collector,collector-navsari@gujarat.gov.in,02637-253101
158,Gujarat,Panchmahal,Collector,collector-panchmahal@gujarat.gov.in,02672-241201
159,Gujarat,Patan,Collector,collector-patan@gujarat.gov.in,02766-223535
160,Gujarat,Porbandar,Collector,collector-porbandar@gujarat.gov.in,0286-2222301
161,Gujarat,Rajkot,Collector,collector-rajkot@gujarat.gov.in,0281-2471601
162,Gujarat,Sabarkantha,Collector,collector-sabarkantha@gujarat.gov.in,02772-240140
163,Gujarat,Surat,Collector,collector-surat@gujarat.gov.in,0261-2422027
164,Gujarat,Surendranagar,Collector,collector-surendranagar@gujarat.gov.in,02752-284101
165,Gujarat,Tapi,Collector,collector-tapi@gujarat.gov.in,02626-220201
166,Gujarat,Vadodara,Collector,collector-vadodara@gujarat.gov.in,0265-2418901
167,Gujarat,Valsad,Collector,collector-valsad@gujarat.gov.in,02632-258701
168,Haryana,Ambala,Deputy Commissioner,dc-ambala@hry.nic.in,0171-2534093
169,Haryana,Bhiwani,Deputy Commissioner,dc-bhiwani@hry.nic.in,01664-242444
170,Haryana,Charkhi Dadri,Deputy Commissioner,dc-charkhidadri@hry.nic.in,
171,Haryana,Faridabad,Deputy Commissioner,dc-faridabad@hry.nic.in,0129-2413031
172,Haryana,Fatehabad,Deputy Commissioner,dc-fatehabad@hry.nic.in,01667-220222
173,Haryana,Gurugram,Deputy Commissioner,dc-gurugram@hry.nic.in,0124-2322100
174,Haryana,Hisar,Deputy Commissioner,dc-hisar@hry.nic.in,01662-234040
175,Haryana,Jhajjar,Deputy Commissioner,dc-jhajjar@hry.nic.in,01251-255003
176,Haryana,Jind,Deputy Commissioner,dc-jind@hry.nic.in,01681-242222
177,Haryana,Kaithal,Deputy Commissioner,dc-kaithal@hry.nic.in,01746-230026
178,Haryana,Karnal,Deputy Commissioner,dc-karnal@hry.nic.in,0184-2260027
179,Haryana,Kurukshetra,Deputy Commissioner,dc-kurukshetra@hry.nic.in,01744-220010
180,Haryana,Mahendragarh,Deputy Commissioner,dc-mahendragarh@hry.nic.in,01285-254002
181,Haryana,Mewat (Nuh),Deputy Commissioner,dc-mewat@hry.nic.in,01267-221013
182,Haryana,Palwal,Deputy Commissioner,dc-palwal@hry.nic.in,01275-240001
183,Haryana,Panchkula,Deputy Commissioner,dc-panchkula@hry.nic.in,0172-2574029
184,Haryana,Panipat,Deputy Commissioner,dc-panipat@hry.nic.in,0180-2644012
185,Haryana,Rewari,Deputy Commissioner,dc-rewari@hry.nic.in,01274-225001
186,Haryana,Rohtak,Deputy Commissioner,dc-rohtak@hry.nic.in,01262-274110
187,Haryana,Sirsa,Deputy Commissioner,dc-sirsa@hry.nic.in,01666-240200
188,Haryana,Sonipat,Deputy Commissioner,dc-sonipat@hry.nic.in,0130-2235000
189,Haryana,Yamunanagar,Deputy Commissioner,dc-yamunanagar@hry.nic.in,01732-235001
190,Himachal Pradesh,Bilaspur,Deputy Commissioner,dc-bilaspur-hp@nic.in,01978-224052
191,Himachal Pradesh,Chamba,Deputy Commissioner,dc-chamba-hp@nic.in,01899-222224
192,Himachal Pradesh,Hamirpur,Deputy Commissioner,dc-hamirpur-hp@nic.in,01972-222222
193,Himachal Pradesh,Kangra,Deputy Commissioner,dc-kangra-hp@nic.in,01892-222220
194,Himachal Pradesh,Kinnaur,Deputy Commissioner,dc-kinnaur-hp@nic.in,01786-222236
195,Himachal Pradesh,Kullu,Deputy Commissioner,dc-kullu-hp@nic.in,01902-222222
196,Himachal Pradesh,Lahaul & Spiti,Deputy Commissioner,dc-lahaul-hp@nic.in,01900-222244
197,Himachal Pradesh,Mandi,Deputy Commissioner,dc-mandi-hp@nic.in,01905-222264
198,Himachal Pradesh,Shimla,Deputy Commissioner,dc-shimla-hp@nic.in,0177-2800010
199,Himachal Pradesh,Sirmaur,Deputy Commissioner,dc-sirmaur-hp@nic.in,01702-222244
200,Himachal Pradesh,Solan,Deputy Commissioner,dc-solan-hp@nic.in,01792-222234
201,Himachal Pradesh,Una,Deputy Commissioner,dc-una-hp@nic.in,01975-226000
202,Jharkhand,Bokaro,Deputy Commissioner,dc-bokaro@jharkhand.gov.in,06542-222600
203,Jharkhand,Chatra,Deputy Commissioner,dc-chatra@jharkhand.gov.in,06541-222236
204,Jharkhand,Deoghar,Deputy Commissioner,dc-deoghar@jharkhand.gov.in,06432-232422
205,Jharkhand,Dhanbad,Deputy Commissioner,dc-dhanbad@jharkhand.gov.in,0326-2302273
206,Jharkhand,Dumka,Deputy Commissioner,dc-dumka@jharkhand.gov.in,06434-222215
207,Jharkhand,East Singhbhum,Deputy Commissioner,dc-eastsinghbhum@jharkhand.gov.in,0657-2430055
208,Jharkhand,Garhwa,Deputy Commissioner,dc-garhwa@jharkhand.gov.in,06561-222253
209,Jharkhand,Giridih,Deputy Commissioner,dc-giridih@jharkhand.gov.in,06532-222274
210,Jharkhand,Godda,Deputy Commissioner,dc-godda@jharkhand.gov.in,06422-222222
211,Jharkhand,Gumla,Deputy Commissioner,dc-gumla@jharkhand.gov.in,06524-222230
212,Jharkhand,Hazaribagh,Deputy Commissioner,dc-hazaribagh@jharkhand.gov.in,06546-222266
213,Jharkhand,Jamtara,Deputy Commissioner,dc-jamtara@jharkhand.gov.in,06433-222230
214,Jharkhand,Khunti,Deputy Commissioner,dc-khunti@jharkhand.gov.in,
215,Jharkhand,Koderma,Deputy Commissioner,dc-koderma@jharkhand.gov.in,06534-222247
216,Jharkhand,Latehar,Deputy Commissioner,dc-latehar@jharkhand.gov.in,06565-222232
217,Jharkhand,Lohardaga,Deputy Commissioner,dc-lohardaga@jharkhand.gov.in,06526-222233
218,Jharkhand,Pakur,Deputy Commissioner,dc-pakur@jharkhand.gov.in,06436-222238
219,Jharkhand,Palamu,Deputy Commissioner,dc-palamu@jharkhand.gov.in,06562-222253
220,Jharkhand,Ramgarh,Deputy Commissioner,dc-ramgarh@jharkhand.gov.in,
221,Jharkhand,Ranchi,Deputy Commissioner,dc-ranchi@jharkhand.gov.in,0651-2208002
222,Jharkhand,Sahibganj,Deputy Commissioner,dc-sahibganj@jharkhand.gov.in,06436-222238
223,Jharkhand,Seraikela-Kharsawan,Deputy Commissioner,dc-seraikela@jharkhand.gov.in,06597-222221
224,Jharkhand,Simdega,Deputy Commissioner,dc-simdega@jharkhand.gov.in,06525-222224
225,Jharkhand,West Singhbhum,Deputy Commissioner,dc-westsinghbhum@jharkhand.gov.in,06582-222351
226,Karnataka,Bagalkot,Deputy Commissioner,dc.bagalkot@karnataka.gov.in,08354-235500
227,Karnataka,Ballari,Deputy Commissioner,dc.bellary@karnataka.gov.in,08392-255800
228,Karnataka,Belagavi,Deputy Commissioner,dc.belgaum@karnataka.gov.in,0831-2404600
229,Karnataka,Bengaluru Rural,Deputy Commissioner,dc.bangalorerural@karnataka.gov.in,080-27274201
230,Karnataka,Bengaluru Urban,Deputy Commissioner,dc.bangaloreurban@karnataka.gov.in,080-22371760
231,Karnataka,Bidar,Deputy Commissioner,dc.bidar@karnataka.gov.in,08482-226600
232,Karnataka,Chamarajanagar,Deputy Commissioner,dc.chamarajanagar@karnataka.gov.in,08226-222600
233,Karnataka,Chikkaballapura,Deputy Commissioner,dc.chikkaballapura@karnataka.gov.in,08156-272700
234,Karnataka,Chikkamagaluru,Deputy Commissioner,dc.chickmagalur@karnataka.gov.in,08262-222600
235,Karnataka,Chitradurga,Deputy Commissioner,dc.chitradurga@karnataka.gov.in,08194-222600
236,Karnataka,Dakshina Kannada,Deputy Commissioner,dc.dakshinakannada@karnataka.gov.in,0824-2220006
237,Karnataka,Davanagere,Deputy Commissioner,dc.davanagere@karnataka.gov.in,08192-252600
238,Karnataka,Dharwad,Deputy Commissioner,dc.dharwad@karnataka.gov.in,0836-2447600
239,Karnataka,Gadag,Deputy Commissioner,dc.gadag@karnataka.gov.in,08372-237600
240,Karnataka,Hassan,Deputy Commissioner,dc.hassan@karnataka.gov.in,08172-268600
241,Karnataka,Haveri,Deputy Commissioner,dc.haveri@karnataka.gov.in,08375-233600
242,Karnataka,Kalaburagi,Deputy Commissioner,dc.gulbarga@karnataka.gov.in,08472-278600
243,Karnataka,Kodagu,Deputy Commissioner,dc.kodagu@karnataka.gov.in,08272-228600
244,Karnataka,Kolar,Deputy Commissioner,dc.kolar@karnataka.gov.in,08152-243600
245,Karnataka,Koppal,Deputy Commissioner,dc.koppal@karnataka.gov.in,08539-220600
246,Karnataka,Mandya,Deputy Commissioner,dc.mandya@karnataka.gov.in,08232-222600
247,Karnataka,Mysuru,Deputy Commissioner,dc.mysore@karnataka.gov.in,0821-2419600
248,Karnataka,Raichur,Deputy Commissioner,dc.raichur@karnataka.gov.in,08532-220600
249,Karnataka,Ramanagara,Deputy Commissioner,dc.ramanagara@karnataka.gov.in,08027-272600
250,Karnataka,Shivamogga,Deputy Commissioner,dc.shimoga@karnataka.gov.in,08182-222600
251,Karnataka,Tumakuru,Deputy Commissioner,dc.tumkur@karnataka.gov.in,0816-2272600
252,Karnataka,Udupi,Deputy Commissioner,dc.udupi@karnataka.gov.in,0820-2524600
253,Karnataka,Uttara Kannada,Deputy Commissioner,dc.uttarakannada@karnataka.gov.in,08382-226600
254,Karnataka,Vijayapura,Deputy Commissioner,dc.bijapur@karnataka.gov.in,08352-251600
255,Karnataka,Yadgir,Deputy Commissioner,dc.yadgir@karnataka.gov.in,08473-253600
256,Kerala,Alappuzha,District Collector,collector.alappuzha@kerala.gov.in,0477-2251557
257,Kerala,Ernakulam,District Collector,collector.ernakulam@kerala.gov.in,0484-2422822
258,Kerala,Idukki,District Collector,collector.idukki@kerala.gov.in,04862-232221
259,Kerala,Kannur,District Collector,collector.kannur@kerala.gov.in,0497-2700233
260,Kerala,Kasaragod,District Collector,collector.kasaragod@kerala.gov.in,04994-257021
261,Kerala,Kollam,District Collector,collector.kollam@kerala.gov.in,0474-2794900
262,Kerala,Kottayam,District Collector,collector.kottayam@kerala.gov.in,0481-2562455
263,Kerala,Kozhikode,District Collector,collector.kozhikode@kerala.gov.in,0495-2371334
264,Kerala,Malappuram,District Collector,collector.malappuram@kerala.gov.in,0483-2734045
265,Kerala,Palakkad,District Collector,collector.palakkad@kerala.gov.in,0491-2505201
266,Kerala,Pathanamthitta,District Collector,collector.pathanamthitta@kerala.gov.in,0468-2222294
267,Kerala,Thiruvananthapuram,District Collector,collector.thiruvananthapuram@kerala.gov.in,0471-2333177
268,Kerala,Thrissur,District Collector,collector.thrissur@kerala.gov.in,0487-2360300
269,Kerala,Wayanad,District Collector,collector.wayanad@kerala.gov.in,04936-202122
270,Madhya Pradesh,Agar Malwa,Collector & DM,collector.agarmalwa@mp.gov.in,
271,Madhya Pradesh,Alirajpur,Collector & DM,collector.alirajpur@mp.gov.in,07394-232088
272,Madhya Pradesh,Anuppur,Collector & DM,collector.anuppur@mp.gov.in,07659-222302
273,Madhya Pradesh,Ashoknagar,Collector & DM,collector.ashoknagar@mp.gov.in,07539-253000
274,Madhya Pradesh,Balaghat,Collector & DM,collector.balaghat@mp.gov.in,07632-242232
275,Madhya Pradesh,Barwani,Collector & DM,collector.barwani@mp.gov.in,07290-233038
276,Madhya Pradesh,Betul,Collector & DM,collector.betul@mp.gov.in,07141-234404
277,Madhya Pradesh,Bhind,Collector & DM,collector.bhind@mp.gov.in,07534-250010
278,Madhya Pradesh,Bhopal,Collector & DM,collector.bhopal@mp.gov.in,0755-2441700
279,Madhya Pradesh,Burhanpur,Collector & DM,collector.burhanpur@mp.gov.in,07325-252120
280,Madhya Pradesh,Chhatarpur,Collector & DM,collector.chhatarpur@mp.gov.in,07682-244005
281,Madhya Pradesh,Chhindwara,Collector & DM,collector.chhindwara@mp.gov.in,07162-244055
282,Madhya Pradesh,Damoh,Collector & DM,collector.damoh@mp.gov.in,07812-222404
283,Madhya Pradesh,Datia,Collector & DM,collector.datia@mp.gov.in,07522-234001
284,Madhya Pradesh,Dewas,Collector & DM,collector.dewas@mp.gov.in,07272-258888
285,Madhya Pradesh,Dhar,Collector & DM,collector.dhar@mp.gov.in,07292-222220
286,Madhya Pradesh,Dindori,Collector & DM,collector.dindori@mp.gov.in,07644-232005
287,Madhya Pradesh,Guna,Collector & DM,collector.guna@mp.gov.in,07542-256220
288,Madhya Pradesh,Gwalior,Collector & DM,collector.gwalior@mp.gov.in,0751-2447703
289,Madhya Pradesh,Harda,Collector & DM,collector.harda@mp.gov.in,07577-222206
290,Madhya Pradesh,Hoshangabad,Collector & DM,collector.hoshangabad@mp.gov.in,07574-255161
291,Madhya Pradesh,Indore,Collector & DM,collector.indore@mp.gov.in,0731-2536300
292,Madhya Pradesh,Jabalpur,Collector & DM,collector.jabalpur@mp.gov.in,0761-2677888
293,Madhya Pradesh,Jhabua,Collector & DM,collector.jhabua@mp.gov.in,07392-244433
294,Madhya Pradesh,Katni,Collector & DM,collector.katni@mp.gov.in,07622-255040
295,Madhya Pradesh,Khandwa,Collector & DM,collector.khandwa@mp.gov.in,0733-2221100
296,Madhya Pradesh,Khargone,Collector & DM,collector.khargone@mp.gov.in,07282-222255
297,Madhya Pradesh,Mandla,Collector & DM,collector.mandla@mp.gov.in,07642-252263
298,Madhya Pradesh,Mandsaur,Collector & DM,collector.mandsaur@mp.gov.in,07422-248330
299,Madhya Pradesh,Morena,Collector & DM,collector.morena@mp.gov.in,07532-243200
300,Madhya Pradesh,Narsinghpur,Collector & DM,collector.narsinghpur@mp.gov.in,07792-230044
301,Madhya Pradesh,Neemuch,Collector & DM,collector.neemuch@mp.gov.in,07423-222004
302,Madhya Pradesh,Niwari,Collector & DM,collector.niwari@mp.gov.in,
303,Madhya Pradesh,Panna,Collector & DM,collector.panna@mp.gov.in,07732-252221
304,Madhya Pradesh,Raisen,Collector & DM,collector.raisen@mp.gov.in,07482-222006
305,Madhya Pradesh,Rajgarh,Collector & DM,collector.rajgarh@mp.gov.in,07372-252003
306,Madhya Pradesh,Ratlam,Collector & DM,collector.ratlam@mp.gov.in,07412-240046
